,Platform,Genre,Publisher,Critic_Score,User_Score,Rating,Cat
328,PC,Role-Playing,Activision,91.0,7.5,T,Strategy
329,X360,Sports,Ubisoft,73.0,7.5,E,Sports
330,PS2,Platform,Activision,69.0,7.4,E10+,Adventure
331,X360,Action,Activision,78.0,7.8,M,Action
332,XB,Racing,Electronic Arts,94.0,7.2,T,Sports
333,PS2,Sports,Electronic Arts,63.0,6,E,Sports
334,X360,Action,Activision,80.0,6.6,E10+,Action
335,PS2,Misc,Sony Computer Entertainment,78.0,8.3,T,Puzzle
336,PS3,Action,Electronic Arts,85.0,7.2,M,Action
337,PS3,Action,Ubisoft,72.0,7.5,M,Action
338,PC,Simulation,Electronic Arts,76.0,6.6,T,Strategy
339,XB,Sports,Activision,85.0,9.1,T,Sports
340,X360,Fighting,THQ,71.0,6.3,T,Sports
341,X360,Action,THQ,78.0,8,T,Action
342,PS3,Racing,Electronic Arts,80.0,4.9,E10+,Sports
343,PS3,Shooter,Sony Computer Entertainment,63.0,6.9,M,Action
344,X360,Racing,Electronic Arts,83.0,8.5,T,Sports
345,PS2,Shooter,Electronic Arts,79.0,8.4,M,Action
346,PS3,Shooter,Ubisoft,86.0,7.6,M,Action
347,PS2,Action,Ubisoft,87.0,8.6,T,Action
348,PS2,Shooter,Sony Computer Entertainment,81.0,8.9,T,Action
349,PS2,Fighting,THQ,78.0,6.9,T,Sports
350,XB,Action,Activision,61.0,8.1,T,Action
351,PS3,Action,Activision,79.0,7.7,M,Action
352,PS3,Sports,Electronic Arts,76.0,6.4,E,Sports
353,X360,Misc,Activision,70.0,6.7,T,Puzzle
354,PS3,Racing,Electronic Arts,75.0,7.3,E10+,Sports
355,PS3,Sports,Electronic Arts,82.0,7.8,E,Sports
356,PS2,Racing,THQ,71.0,8.4,E,Sports
357,XB,Shooter,Activision,73.0,7.8,T,Action
358,PS2,Platform,Sony Computer Entertainment,86.0,8.6,E,Adventure
359,PS3,Shooter,Electronic Arts,75.0,7.6,T,Action
360,PS2,Sports,Electronic Arts,92.0,8.5,E,Sports
361,X360,Misc,Ubisoft,77.0,7.7,E10+,Puzzle
362,PS2,Shooter,Activision,77.0,8.7,M,Action
363,PS2,Platform,Electronic Arts,70.0,8.8,E,Adventure
364,PS3,Fighting,THQ,72.0,6.9,T,Sports
365,PS3,Fighting,THQ,81.0,8.1,T,Sports
366,XB,Shooter,Electronic Arts,65.0,5.8,T,Action
367,PS3,Shooter,Electronic Arts,74.0,7.3,M,Action
368,PC,Strategy,Electronic Arts,84.0,5.3,E10+,Strategy
369,PS2,Shooter,Ubisoft,70.0,6.3,T,Action
370,X360,Platform,Electronic Arts,79.0,7.6,T,Adventure
371,PS2,Racing,Electronic Arts,85.0,8.5,E,Sports
372,X360,Sports,Ubisoft,77.0,7.6,E,Sports
373,X360,Action,Electronic Arts,53.0,5.4,M,Action
374,PC,Shooter,Activision,92.0,8.5,M,Action
375,PS2,Platform,THQ,68.0,9,E,Adventure
376,PS2,Action,Activision,79.0,8.4,M,Action
377,PS2,Action,Sony Computer Entertainment,91.0,9.1,T,Action
378,PS3,Action,Activision,65.0,6.6,T,Action
379,XB,Action,Electronic Arts,84.0,9.1,T,Action
380,PS3,Sports,Sony Computer Entertainment,81.0,8.8,E,Sports
381,XB,Shooter,Ubisoft,84.0,8.6,M,Action
382,PS3,Platform,Electronic Arts,79.0,7.8,T,Adventure
383,X360,Misc,Activision,85.0,6.8,T,Puzzle
384,PS3,Misc,Sony Computer Entertainment,82.0,5.9,T,Puzzle
385,PS2,Racing,Activision,57.0,7.6,E,Sports
386,PS3,Racing,Sony Computer Entertainment,82.0,8.4,E,Sports
387,PS3,Misc,Ubisoft,80.0,8.3,T,Puzzle
388,XB,Shooter,Activision,78.0,5.1,T,Action
389,X360,Misc,Ubisoft,77.0,8.2,T,Puzzle
390,PS2,Misc,Activision,71.0,2.6,T,Puzzle
391,XB,Action,Activision,83.0,8.3,T,Action
392,X360,Action,Electronic Arts,79.0,4.5,M,Action
393,PS3,Fighting,Electronic Arts,84.0,7.3,M,Sports
394,XB,Action,Ubisoft,94.0,9,M,Action
395,X360,Shooter,Electronic Arts,73.0,6.7,T,Action
396,X360,Sports,Electronic Arts,77.0,5.8,E,Sports
397,PS3,Misc,Activision,86.0,5.7,T,Puzzle
398,XB,Sports,Electronic Arts,92.0,8.3,E,Sports
399,PS2,Action,Electronic Arts,75.0,8.3,M,Action
400,PS3,Fighting,THQ,74.0,6.9,T,Sports
401,X360,Action,Electronic Arts,76.0,5.5,E,Action
402,X360,Sports,Electronic Arts,84.0,8,T,Sports
403,PS2,Racing,Electronic Arts,88.0,8.9,E,Sports
404,PS3,Action,Electronic Arts,75.0,7.5,M,Action
405,PS2,Shooter,Ubisoft,58.0,6,T,Action
406,X360,Shooter,Electronic Arts,69.0,7.3,E10+,Action
407,PS2,Shooter,Activision,82.0,7.4,T,Action
408,PS3,Action,Ubisoft,85.0,7.3,T,Action
409,PS2,Racing,Electronic Arts,81.0,7.3,E,Sports
410,PS3,Shooter,Electronic Arts,89.0,8.4,M,Action
411,X360,Misc,Activision,84.0,8,T,Puzzle
412,PS2,Sports,Electronic Arts,89.0,8.7,E,Sports
413,PS3,Action,Activision,77.0,6.3,E10+,Action
414,X360,Action,THQ,83.0,7.9,M,Action
415,X360,Shooter,Electronic Arts,72.0,7.2,T,Action
416,PS3,Simulation,Sony Computer Entertainment,84.0,8.4,T,Strategy
417,XB,Racing,Electronic Arts,61.0,8.3,T,Sports
418,PS2,Sports,Electronic Arts,81.0,8.9,E,Sports
419,X360,Fighting,THQ,80.0,8.4,T,Sports
420,XB,Racing,Electronic Arts,83.0,8.8,T,Sports
421,X360,Action,Electronic Arts,71.0,7.7,T,Action
422,PS2,Racing,THQ,79.0,8.4,E,Sports
423,PS3,Action,THQ,86.0,7.4,T,Action
424,PS3,Shooter,Ubisoft,84.0,8.1,T,Action
425,PS2,Sports,Electronic Arts,82.0,8.8,E,Sports
426,PS3,Action,Activision,77.0,7.7,E10+,Action
427,X360,Shooter,Ubisoft,86.0,8.1,T,Action
428,X360,Action,Activision,71.0,7.4,E10+,Action
429,X360,Shooter,Electronic Arts,84.0,7.6,M,Action
430,PS3,Platform,Activision,83.0,5.3,E10+,Adventure
431,XB,Sports,Electronic Arts,83.0,8.7,E,Sports
432,PS2,Action,Electronic Arts,70.0,8.7,E,Action
433,X360,Action,Ubisoft,72.0,7.3,M,Action
434,X360,Action,Ubisoft,81.0,7,T,Action
435,PS3,Platform,Ubisoft,87.0,8.4,E10+,Adventure
436,X360,Misc,Ubisoft,79.0,7.8,E10+,Puzzle
437,X360,Sports,Electronic Arts,82.0,6.6,E,Sports
438,X360,Action,THQ,85.0,7.6,T,Action
439,PS3,Shooter,Ubisoft,55.0,6.5,M,Action
440,PS2,Action,Sony Computer Entertainment,66.0,8,T,Action
441,PS3,Misc,Activision,70.0,5,T,Puzzle
442,PS3,Simulation,Sony Computer Entertainment,70.0,8.2,E,Strategy
443,X360,Action,Electronic Arts,78.0,6.4,M,Action
444,X360,Action,Ubisoft,82.0,7.5,M,Action
445,XB,Sports,Electronic Arts,87.0,8.3,E,Sports
446,PS3,Sports,Electronic Arts,81.0,5.3,E,Sports
447,X360,Action,Electronic Arts,82.0,8,M,Action
448,PS2,Sports,Electronic Arts,85.0,7.6,E,Sports
449,XB,Sports,Electronic Arts,81.0,8.7,E,Sports
450,PC,Role-Playing,Electronic Arts,89.0,5.5,M,Strategy
451,X360,Action,Activision,78.0,5.2,E10+,Action
452,PS2,Role-Playing,Sony Computer Entertainment,87.0,9.1,T,Strategy
453,PC,Shooter,Ubisoft,88.0,8.2,M,Action
454,PS3,Action,Electronic Arts,76.0,6.4,M,Action
455,PS2,Sports,Electronic Arts,85.0,8.1,E,Sports
456,PS2,Platform,Sony Computer Entertainment,71.0,7.9,M,Adventure
